0,534744.188318,5079065.76367,0.0
1,534750.823779,5079045.24597,0.0
2,534764.384828,5079063.21036,0.0
3,534764.802889,5079085.54533,0.0
4,534781.01539,5079101.30248,0.0
5,534816.033867,5079113.27655,0.0
6,534840.763811,5079132.74827,0.0
7,534860.330545,5079145.52459,0.0
8,534877.920423,5079164.73409,0.0
9,534892.635752,5079184.37188,0.0
10,534901.903847,5079206.42339,0.0
11,534905.189553,5079229.44119,0.0
12,534911.258877,5079254.3635,0.0
13,534927.680871,5079274.1221,0.0
14,534950.540081,5079294.80592,0.0
15,534972.841045,5079290.59855,0.0
16,534992.722872,5079274.93351,0.0
17,535012.121107,5079248.71057,0.0
18,535041.726018,5079243.21143,0.0
19,535037.458566,5079256.63133,0.0
20,535039.210555,5079289.97354,0.0
21,535051.204033,5079310.37409,0.0
22,535065.773078,5079287.1239,0.0
23,535091.227572,5079288.04576,0.0
24,535111.776979,5079291.60651,0.0
25,535133.182555,5079281.06151,0.0
26,535154.622874,5079264.40585,0.0
27,535179.634417,5079247.65943,0.0
28,535197.755632,5079255.09545,0.0
29,535220.622411,5079233.33716,0.0
30,535224.711735,5079210.36111,0.0
31,535249.023724,5079207.49945,0.0
32,535269.193603,5079195.94791,0.0
33,535295.803254,5079198.5438,0.0
34,535309.65084,5079179.51216,0.0
35,535323.291618,5079155.92396,0.0
36,535326.640979,5079140.27686,0.0
37,535343.036329,5079123.7042,0.0
38,535363.454103,5079109.5989,0.0
39,535382.358061,5079115.92884,0.0
40,535403.362359,5079135.04824,0.0
41,535422.049715,5079124.93312,0.0
42,535445.844215,5079117.62497,0.0
43,535463.691899,5079118.61595,0.0
44,535480.159591,5079130.15432,0.0
45,535493.015334,5079135.3389,0.0
46,535502.897926,5079144.61746,0.0
47,535525.020926,5079158.07718,0.0
48,535547.127398,5079160.87055,0.0
49,535559.319509,5079159.94053,0.0
50,535593.882845,5079156.2502,0.0
51,535619.358898,5079153.50779,0.0
